mean:0.682430,,,,,,,,,,,,,,,,,,,,
1.1365, [[0.9752089745789994, 0.9545019342169864], [0.9783986993481508, 0.7281785168306572], [0.9622481941878898, 0.0], [0.9578471815317188, 0.6322405240807872], [0.9037026129819434, 9.351815181639159e-05], [0.8928010219987672, 0.6124926338684616], [0.952840524932038, 0.0], [0.8177011730035532, 0.0008550231023111238], [0.9501756915805948, 0.0], [0.9455324213470198, 0.0]]
1.0348, [[0.9653167901683395, 0.5460001073170724], [0.9614406689298767, 0.8725739027982333], [0.9546170804996665, 0.6427476416364573], [0.886663830037868, 0.6221291393060587], [0.8955466078760116, 0.6127770668047643], [0.9481568784355621, 0.07570962376236594], [0.8905803275392312, 0.5083825307317089], [0.8952235977728062, 0.0], [0.8594906051057287, 0.11904860726072394], [0.8902573174360263, 0.0]]
0.8001, [[0.9200549994567078, 0.0], [0.8076474835412908, 0.0], [0.8177011730035532, 0.646323252200932], [0.9778738079304427, 0.6194909207664422], [0.8271088422594053, 0.0], [0.8977673023355475, 0.0], [0.915290600434431, 0.0], [0.8130579027699781, 0.0], [0.8932451608906744, 0.0], [0.8375259180877738, 0.0]]
0.5875, [[0.9808616513850907, 0.44350903024390315], [0.9092341609993331, 0.0], [0.8514153525255982, 0.0], [0.8040943724060333, 0.0], [0.8039328673544308, 0.0], [0.7972304077129223, 0.0], [0.784269627321813, 0.0], [0.7841888747960115, 0.0], [0.7739736802821466, 0.0], [0.7691285287340683, 0.0]]
0.7425, [[0.8564623853881798, 0.6664763562920761], [0.9501353153176939, 0.0], [0.9025720776207253, 0.0], [0.8853314133621464, 0.0], [0.8852506608363452, 0.0], [0.855049216186657, 0.0], [0.8544839485060479, 0.0], [0.8521017489949095, 0.0], [0.8502040646385786, 0.0], [0.847862241390341, 0.0]]
0.8205, [[0.9721000023356492, 0.6070768658726047], [0.9035007316674402, 0.669350777835318], [0.963419105812009, 0.0], [0.9664473255295578, 0.0], [0.8414827918520378, 0.6570105106162609], [0.8968386482888324, 0.47029258731707485], [0.9593411032590429, 0.0], [0.8251304053772734, 0.5910245427239773], [0.8998668680063814, 0.0], [0.897726926072647, 0.0]]
1.1656, [[0.9815884241173026, 0.8833323514972999], [0.9626923330797971, 0.9793276975945027], [0.9734727952742712, 0.639778821336095], [0.961319540141175, 0.709680070429829], [0.9665280780553591, 0.12403178877887243], [0.9340655626832345, 0.6483134583117554], [0.9543344466593621, 0.6471048244432936], [0.9552227244431764, 0.5610156468292684], [0.9662050679521538, 0.0], [0.9481568784355621, 0.07570962376236594]]
0.7379, [[0.8995438579031765, 0.637225932677369], [0.9007955220530964, 0.4737637678048786], [0.9014011659966062, 0.4110624390243915], [0.8709978400324148, 0.0], [0.8881577517651921, 0.0], [0.8879558704506888, 0.0], [0.8733800395435534, 0.0], [0.7980783092338362, 0.0], [0.8881577517651921, 0.0], [0.7623049403038578, 0.0]]
0.108, [[0.9802560074415809, 0.0], [0.9791254720803626, 0.0], [0.9641055022813199, 0.0], [0.9169056509504571, 0.0], [0.8790327163496447, 0.0], [0.878305943617433, 0.0], [0.8765697643127048, 0.0], [0.8765697643127048, 0.0], [0.8737838021725599, 0.0], [0.8670409662681511, 0.0]]
0.9908, [[0.9832438508962291, 0.8146455768286692], [0.9821940680608123, 0.6342319668565508], [0.960148628517056, 0.5996461584671158], [0.9555457345463816, 0.4630764682926851], [0.9581701916349241, 0.0558169768976865], [0.8942545674631908, 0.5945824277576384], [0.9007955220530964, 0.4737637678048786], [0.9474301057033503, 0.3804719207920831], [0.839383226181204, 0.4695124663414641], [0.9481568784355621, 0.07570962376236594]]
0.5664, [[0.8904188224876288, 0.44438040390243916], [0.8177819255293548, 0.47359199804878244], [0.8949005876696013, 0.0], [0.8390602160779986, 0.0], [0.8221829381855258, 0.0], [0.8793961027157505, 0.0], [0.8719264940791298, 0.0], [0.7522916271044958, 0.0], [0.82553416800628, 0.0], [0.7556024806623497, 0.0]]
0.9233, [[0.9863124468766788, 0.7499308805970144], [0.9015626710482091, 0.5480345053658527], [0.8494772919063671, 0.5697097014634143], [0.886663830037868, 0.5222117853658542], [0.9001091255837854, 0.0], [0.8951832215099059, 0.4678663395121946], [0.8982114412274549, 0.0], [0.8864619487233647, 0.0], [0.8857351759911529, 0.0], [0.8850891557847427, 0.0]]
0.9576, [[0.8863004436717623, 0.0], [0.9425445778923716, 0.0], [0.8820609360671938, 0.0], [0.8884807618683974, 0.5291595141463421], [0.8934066659422769, 0.0], [0.8947794588808994, 0.60510108751942], [0.9652764139054387, 0.7906470299459987], [0.9763798862031181, 0.5928581046090109], [0.8963541331340247, 0.0], [0.972584517490457, 0.7473175556706364]]
0.098, [[0.8795172315044526, 0.0], [0.8631244687667874, 0.0], [0.7868940844103555, 0.0], [0.7407440159149095, 0.0], [0.695056856679934, 0.0], [0.6879350760249614, 0.0], [0.684440239312319, 0.0], [0.6803569249401593, 0.0], [0.6784593847319204, 0.0], [0.6757692011455564, 0.0]]
0.1016, [[0.8120081199345613, 0.0], [0.6778228680797895, 0.0], [0.8474584787613345, 0.0], [0.6673383579418619, 0.0], [0.6863017502760976, 0.0], [0.6543197909435646, 0.0], [0.6886916901586263, 0.0], [0.9162192544811457, 0.0], [0.6736795049668628, 0.0], [0.6864218477576317, 0.0]]
0.8722, [[0.9589777168929371, 0.7235793599171413], [0.9263133202063089, 0.0], [0.9039044942964467, 0.6008366545831173], [0.8769735269417114, 0.6178416219575347], [0.8968790245517332, 0.0], [0.8615497945136621, 0.0], [0.8640934990764033, 0.0], [0.85460507729475, 0.0], [0.8529900267787238, 0.08837465346535094], [0.8356686099943436, 0.0]]
0.722, [[0.9619251840846849, 0.0], [0.9548593380770706, 0.0], [0.9491259087451777, 0.0], [0.9468244617598405, 0.5882403977213876], [0.9442807571970993, 0.0], [0.9439577470938944, 0.0], [0.9279687469852358, 0.0], [0.911333726670167, 0.0], [0.899947620532183, 0.0], [0.8956677366647137, 0.0]]
0.759, [[0.9640651260184192, 0.61325524391507], [0.9513466032047135, 0.5938511465561886], [0.9059233074414792, 0.4937391590243921], [0.9492874137967804, 0.49184432390243826], [0.8321558751219869, 0.42617102048780736], [0.9637824921781146, 0.0], [0.8403926327537203, 0.0], [0.8919934967407541, 0.0], [0.7967862688210154, 0.0], [0.8942949437260916, 0.0]]
1.0783, [[0.9817903054318059, 0.7565671641791041], [0.9861509418250765, 0.3715208976897791], [0.9622481941878898, 0.8974008247422681], [0.9131102822377954, 0.6102184070429828], [0.9351960980444525, 0.0], [0.9061655650188833, 0.565309890731707], [0.9301086889189705, 0.0], [0.9033392266158377, 0.5245879336585355], [0.890055436121523, 0.5406305131707321], [0.9117374892991734, 0.0]]
0.5064, [[0.8330441529058012, 0.439955543414634], [0.8591272187396229, 0.0], [0.8476603600758378, 0.0], [0.8338516781638142, 0.0], [0.833326786746106, 0.0], [0.7861673116781437, 0.0], [0.7837447359041045, 0.0], [0.7231803415531255, 0.0], [0.7219286774032051, 0.0], [0.7189004576856561, 0.0]]
0.0967, [[0.8384545721344889, 0.0], [0.8237979887015519, 0.0], [0.7707435792500944, 0.0], [0.7824526954912837, 0.0], [0.8164495088536332, 0.0], [0.7963825061920089, 0.0], [0.7646063872891949, 0.0], [0.7720356196629152, 0.0], [0.8372432842474693, 0.0], [0.8668390849536478, 0.0]]
0.688, [[0.8986555801193619, 0.588896242361471], [0.8728551481258449, 0.0], [0.7707032029871936, 0.0], [0.8636089839215956, 0.0], [0.764162248397288, 0.0], [0.7947674556759827, 0.0], [0.7852386576314285, 0.0], [0.7750234631175634, 0.0], [0.7781324353609136, 0.0], [0.7967055162952138, 0.0]]
1.0779, [[0.9696774265616102, 0.7907269710358366], [0.9826785832156202, 0.7173317286380109], [0.9647111462248297, 0.8982280412371139], [0.9694755452471068, 0.6450503117555669], [0.8529900267787238, 0.3842660858085931], [0.8524247590981144, 0.0], [0.8109583370991442, 0.0], [0.8509712136336912, 0.0], [0.8414020393262366, 0.0], [0.8624784485603773, 0.0]]
0.8981, [[0.9868373382943875, 0.726117408596582], [0.9872007246604932, 0.6269752169860173], [0.9814672953286006, 0.5683033365853659], [0.9033392266158377, 0.5245879336585355], [0.9542940703964613, 0.19533269966997555], [0.8950217164583031, 0.06458096369635773], [0.8835952340574187, 0.0], [0.911091469092763, 0.0], [0.8863408199346627, 0.0], [0.8705940774034082, 0.0]]
0.5842, [[0.953648050190051, 0.4513871785365859], [0.9337021763171284, 0.0], [0.8908225851166354, 0.0], [0.9857471791960699, 0.0], [0.9629749669201015, 0.0], [0.8841605017380276, 0.0], [0.8101508118411312, 0.0], [0.8165706376423352, 0.0], [0.888440385605497, 0.0], [0.9102839438347499, 0.0]]
1.0693, [[0.9940243130907037, 0.788164221894943], [0.9819921867463091, 0.8783667353951885], [0.9854241690928646, 0.49083696585365844], [0.9840513761542422, 0.5051028019512189], [0.977914184193343, 0.6974803707923352], [0.9780353129820452, 0.6548620113930604], [0.968991030092299, 0.6909268710512684], [0.9686276437261929, 0.0], [0.965034156328035, 0.673260287933713], [0.9677797422052794, 0.0]]
0.0791, [[0.6908654545743937, 0.0], [0.6683231572904417, 0.0], [0.6626425464138783, 0.0], [0.6718059842549309, 0.0], [0.6616217178208385, 0.0], [0.6714096625658683, 0.0], [0.6704248632172886, 0.0], [0.6658611589189924, 0.0], [0.6516055878608938, 0.0], [0.6093793133535016, 0.0]]
0.7979, [[0.9702830705051199, 0.5416915492682935], [0.8988170851709646, 0.0], [0.8558971177075707, 0.657926467115484], [0.8647798955457143, 0.0], [0.9305528278108774, 0.0], [0.9641055022813199, 0.0], [0.8843623830525309, 0.0], [0.8865023249862656, 0.0], [0.8841605017380276, 0.0], [0.8848872744702394, 0.0]]
0.912, [[0.7499901801191587, 0.0], [0.9826785832156202, 0.7423309104091143], [0.791698859695533, 0.0], [0.6679748745939927, 0.0], [0.6670020849935665, 0.0], [0.6259887950496686, 0.0], [0.6756611134121756, 0.0], [0.6307806845628795, 0.0], [0.6131023352810588, 0.0], [0.6329304294823401, 0.0]]
0.9192, [[0.9756531134709068, 0.6246197824961159], [0.9708483381857289, 0.5893529839461416], [0.9698389316132126, 0.755239783582089], [0.9682642573600873, 0.707338651475919], [0.963419105812009, 0.6982264919730709], [0.9579683103204208, 0.6475112749870531], [0.840069622650515, 0.0], [0.85214212525781, 0.0], [0.866233441010138, 0.0], [0.8562605040736765, 0.0]]
0.9318, [[0.9811442852253953, 0.7618766865671645], [0.9265959540466138, 0.0], [0.903783365507745, 0.5894651082340755], [0.8997053629547789, 0.6286970668047642], [0.8962733806082235, 0.7016508171931642], [0.8845238881041333, 0.19388984818481514], [0.8849276507331398, 0.6778474904194713], [0.8877943653990863, 0.0], [0.7661810615423206, 0.0], [0.756934897338071, 0.0]]
0.8439, [[0.8021563117868019, 0.0], [1.0, 0.6318072791299845], [0.926676706572415, 0.0], [0.9674163558391733, 0.0], [0.8202852538291951, 0.0], [0.9641055022813199, 0.2760388646864773], [0.9618848078217841, 0.0], [0.8913071002714431, 0.0], [0.9540114365561567, 0.6686908109787675], [0.8332460342203045, 0.0]]
0.7937, [[0.8856947997282525, 0.6819177669601237], [0.9038237417706454, 0.6085126338684622], [0.9227602090710517, 0.4323100000000008], [0.6939639695979737, 0.0], [0.8875521078216823, 0.0], [0.807162968386483, 0.0], [0.8337305493751126, 0.0], [0.760891771102335, 0.0], [0.8267454558932996, 0.0], [0.8045385112979406, 0.0]]
0.9334, [[0.99257076762628, 0.677638906266183], [0.9698389316132126, 0.755239783582089], [0.9874026059749964, 0.7158023863283268], [0.9924092625746777, 0.6865672149145515], [0.9530424062465412, 0.7416214769549455], [0.9844551387832488, 0.7147104111859136], [0.9859894367734736, 0.6656424319005694], [0.9641862548071212, 0.7378290378042465], [0.980942403910892, 0.6987817545313305], [0.9851819115154605, 0.6918098498187468]]
0.6588, [[0.9513466032047135, 0.32379992079208547], [0.8312675973381727, 0.552745648780489], [0.9006743932643944, 0.0], [0.8877943653990863, 0.0], [0.8817379259639885, 0.0], [0.7940003066808702, 0.0], [0.8760044966320959, 0.0], [0.8304600720801596, 0.0], [0.8154401022811169, 0.0], [0.7856424202604351, 0.0]]
0.6318, [[0.8945775775663961, 0.5303887414634139], [0.9430290930471793, 0.0], [0.8689386506244816, 0.0], [0.7960191198259028, 0.0], [0.7828564581202903, 0.0], [0.8712400976098188, 0.0], [0.8354263524169399, 0.0], [0.8413212868004349, 0.0], [0.8444302590437855, 0.0], [0.7622645640409573, 0.0]]
0.7791, [[0.9870392196088907, 0.6167080124287935], [0.9193686029873966, 0.0], [0.9094764185767368, 0.0], [0.896556014448528, 0.0], [0.9022490675175201, 0.0], [0.8881577517651921, 0.0], [0.8934470422051777, 0.0], [0.8812937870720812, 0.0], [0.8829088375881072, 0.0], [0.8605403879411458, 0.0]]
0.7538, [[0.9543344466593621, 0.6150005903676854], [0.8787097062464395, 0.45694285658536576], [0.8927606457358668, 0.0], [0.9036218604561421, 0.0], [0.8314291023897751, 0.0], [0.873662673383858, 0.0], [0.761578167571646, 0.0], [0.7595189781637129, 0.0], [0.872249504182335, 0.0], [0.881576420912386, 0.0]]
0.7631, [[0.9581298153720232, 0.6211480517866392], [0.8637704889731981, 0.0], [0.837041402932966, 0.0], [0.7355758542636258, 0.0], [0.6814378022739662, 0.0], [0.6735594074853287, 0.0], [0.6701126097652998, 0.0], [0.6681550208162939, 0.0], [0.6677827186235382, 0.0], [0.6668699777638789, 0.0]]
0.6103, [[0.6706770679285101, 0.0], [0.8928817745245687, 0.5147165404878051], [0.6726947056182832, 0.0], [0.8149152108634083, 0.0], [0.813219407821581, 0.0], [0.8808900244430746, 0.0], [0.6736194562260958, 0.0], [0.8490331530144598, 0.0], [0.807162968386483, 0.0], [0.6655128762225435, 0.0]]
1.0134, [[0.9857471791960699, 0.0], [0.9821536917979116, 0.8361624742268047], [0.957806805268818, 0.7825706627393222], [0.8966367669743291, 0.6798694375970998], [0.8985344513306601, 0.6795854168824444], [0.8963137568711242, 0.5904602112894872], [0.9515484845192168, 0.0], [0.897726926072647, 0.0], [0.8832722239542133, 0.0], [0.9491259087451777, 0.0]]
0.7279, [[0.8946987063550982, 0.6250014997410667], [0.9620059366104861, 0.0], [0.8531111555674259, 0.1240050693069215], [0.8536360469851341, 0.0], [0.9284532621400435, 0.0], [0.8886826431829007, 0.0], [0.8849276507331398, 0.0], [0.8260186831610877, 0.0], [0.8869464638781726, 0.0], [0.8825454512220015, 0.0]]
0.0893, [[0.7927890187938506, 0.0], [0.623923118367282, 0.0], [0.6259887950496686, 0.0], [0.6362571297208348, 0.0], [0.6233826797003785, 0.0], [0.625880707316288, 0.0], [0.6273699160873109, 0.0], [0.6215812174773669, 0.0], [0.6215932272255202, 0.0], [0.6204643108990997, 0.0]]
0.8399, [[0.9600274997283538, 0.6923581046090107], [0.905721426126976, 0.0], [0.891468605323046, 0.5919289570170894], [0.8763275067353011, 0.0], [0.7691689049969688, 0.0], [0.7621434352522554, 0.0], [0.8747124562192751, 0.0], [0.8832722239542133, 0.0], [0.6662094416154414, 0.0], [0.7659388039649165, 0.0]]
0.0992, [[0.8915089815859463, 0.0], [0.8505270747417839, 0.0], [0.8350225897879334, 0.0], [0.8332864104832053, 0.0], [0.8275933574142131, 0.0], [0.781564417707469, 0.0], [0.7553602230849455, 0.0], [0.7545123215640317, 0.0], [0.764162248397288, 0.0], [0.7618608014119508, 0.0]]
0.0925, [[0.8252515341659755, 0.0], [0.6781711507762386, 0.0], [0.6107484246429903, 0.0], [0.6287630468731065, 0.0], [0.6281505497172826, 0.0], [0.6268294774204074, 0.0], [0.6267814384277938, 0.0], [0.6261209022793561, 0.0], [0.625328258901231, 0.0], [0.618134419757338, 0.0]]
0.0986, [[0.8855736709395505, 0.0], [0.843905367626077, 0.0], [0.643835280805637, 0.0], [0.5836699938684896, 0.0], [0.5847738232277153, 0.0], [0.322430775242294, 0.0], [0.6238150306339013, 0.0], [0.6512212759199847, 0.0], [0.6201040184544974, 0.0], [0.322430775242294, 0.0]]
1.0328, [[0.976299133677317, 0.5232424039024406], [0.9706868331341263, 0.8613879430535102], [0.9452497875067152, 0.0], [0.9487221461161711, 0.0], [0.9413332900053519, 0.0], [0.8172570341116462, 0.0], [0.8870675926668745, 0.0], [0.8991804715370704, 0.0], [0.8799209941334591, 0.0], [0.8751162188482815, 0.0]]
1.0385, [[0.9706868331341263, 0.8613879430535102], [0.972705646279159, 0.6878397431382701], [0.977914184193343, 0.5009391746341469], [0.9854241690928646, 0.49083696585365844], [0.9706868331341263, 0.66867885655101], [0.9512658506789122, 0.6560298353184879], [0.968506514937491, 0.0], [0.9038237417706454, 0.6085126338684622], [0.9550612193915738, 0.0], [0.9073364766430021, 0.6005526338684618]]
0.8097, [[0.9018049286256128, 0.42188035512195154], [0.9512658506789122, 0.6560298353184879], [0.959704489625149, 0.4516824078048801], [0.8273510998368094, 0.6670868565510093], [0.9469455905485425, 0.3291571749174995], [0.9240118732209718, 0.0], [0.8796383602931546, 0.0], [0.8035291047254243, 0.0], [0.8156016073327194, 0.0], [0.9232043479629587, 0.0]]
0.9247, [[0.9886946463878172, 0.5020520995121955], [0.9863124468766788, 0.7499308805970144], [0.9790043432916606, 0.7414380383221124], [0.9783179468223496, 0.636065116519938], [0.9073364766430021, 0.0], [0.9526790198804351, 0.0], [0.9029758402497319, 0.589749128948731], [0.9516696133079188, 0.0], [0.8206486401953009, 0.4998155141463408], [0.9027739589352286, 0.4752291785365857]]
