mean:0.026314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0016, [[0.0,0.0,0.5440627397713523, 0.0], [0.0,0.3422654056187837,0.0, 0.0], [0.0,0.9145498617442184,0.0, 0.0], [0.0,0.4208806612637753,0.0, 0.0], [0.0,0.0,0.102715845972299, 0.0], [0.0,0.4773834338114365,0.0, 0.0], [0.0,0.0,0.0868306001050957, 0.0], [0.0,0.3276106643460431,0.0, 0.0], [0.0,0.4773803727295415,0.0, 0.0], [0.0,0.0,0.0599810812752033, 0.0]]
0.0016, [[0.0,0.0,0.5199765197637967, 0.0], [0.0,0.9965970026224696,0.0, 0.0], [0.0,0.7796527161729474,0.0, 0.0], [0.0,0.5384280793786264,0.0, 0.0], [0.0,0.5118167135980352,0.0, 0.0], [0.0,0.508665807779326,0.0, 0.0], [0.0,0.4944072303735502,0.0, 0.0], [0.0,0.494354651222387,0.0, 0.0], [0.0,0.4871439976108302,0.0, 0.0], [0.0,0.4871439879544205,0.0, 0.0]]
0.003, [[0.3206903620873261,0.4381450859007902,0.0, 0.0], [0.0,0.0,0.4051635674708488, 0.0], [0.0,0.7796527161729474,0.0, 0.0], [0.0,0.2959604584174354,0.0, 0.0], [0.0,0.378156417023308,0.0, 0.0], [0.0,0.0,0.1060894684223571, 0.0], [0.0,0.5479754553509351,0.0, 0.0], [0.0,0.3794314010864558,0.0, 0.0], [0.0,0.0,0.0987777394508727, 0.0], [0.0,0.5095016955776996,0.0, 0.0]]
0.005, [[0.0,0.3104145588081063,0.0, 0.0], [0.0,0.2966561061768111,0.0813916300527381, 0.0], [0.6827,0.4145724088010445,0.0, 0.0], [0.0,0.7670734945734963,0.0, 0.0], [0.0,0.3104145588081063,0.0, 0.0], [0.0,0.0,0.4036502463849385, 0.0], [0.0,0.6637617780262842,0.0, 0.0], [0.0,0.4208806612637753,0.0, 0.0], [0.0,0.6254319943362092,0.0, 0.0], [0.0,0.6254319943362092,0.0, 0.0]]
0.0051, [[0.0,0.9996176384646026,0.0, 0.0], [0.0,0.0,0.5221362175153192, 0.0], [0.6812639437424357,0.4145724088010445,0.0, 0.0], [0.0,0.9965970026224696,0.0, 0.0], [0.0,0.441737975250793,0.0, 0.0], [0.0,0.6254319943362092,0.0, 0.0], [0.0,0.4418395220558678,0.0, 0.0], [0.0,0.5089518499493458,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.0,0.0,0.0, 0.0]]
0.0009, [[0.0,0.3372247790349609,0.0, 0.0], [0.0,0.7670734945734963,0.0, 0.0], [0.0,0.7670734945734963,0.0, 0.0], [0.0,0.3146644895912495,0.0, 0.0], [0.0,0.7670734945734963,0.0, 0.0], [0.0,0.1769473793222618,0.0, 0.0], [0.0,0.3102602880057217,0.0, 0.0], [0.0,0.3228315526514403,0.0, 0.0], [0.0,0.3360280022344891,0.0, 0.0], [0.0,0.0,0.0, 0.0]]
0.011, [[0.0,0.4824555499474987,0.0, 0.0], [0.6812639437424357,0.4145724088010445,0.0, 0.0], [0.46011128007757585,0.0,0.9880969203205962, 0.0], [0.788238424173962,0.4306699046001673,0.0, 0.00011155862588708606], [0.0,0.4707563073854894,0.0, 0.0], [0.0,0.0,0.3739332381124441, 0.0], [0.0,0.4251364728004646,0.0, 0.0], [0.0,0.3584313074246724,0.0, 0.0], [0.0,0.0,0.0577829138914055, 0.0], [0.0,0.3311211169258933,0.1966061495134859, 0.0]]
0.0017, [[0.0,0.7670734945734963,0.0, 0.0], [0.0,0.668477677956434,0.0, 0.0], [0.0,0.0,0.1682225622072875, 0.0], [0.0,0.3157987701077307,0.2050070006932569, 0.0], [0.0,0.444922147401138,0.0, 0.0], [0.0,0.6637617780262842,0.0, 0.0], [0.0,0.0,0.1680565374804146, 0.0], [0.0,0.5479754553509351,0.0, 0.0], [0.0,0.0,0.1433852630670952, 0.0], [0.0,0.4286962213521584,0.0, 0.0]]
0.0021, [[0.0,0.7796527161729474,0.0, 0.0], [0.0,0.3422654056187837,0.0, 0.0], [0.0,0.0,0.519923626059493, 0.0], [0.0,0.7796188586770167,0.0, 0.0], [0.0,0.3447755410548043,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.0,0.3311211169258933,0.1966061495134859, 0.0], [0.0,0.5745017420807884,0.0, 0.0], [0.0,0.5745017420807884,0.0, 0.0], [0.0,0.0,0.1480738013539871, 0.0]]
0.0016, [[0.0,0.0,0.5223004501540462, 0.0], [0.0,0.0,0.4103127537392679, 0.0], [0.0,0.9965970026224696,0.0, 0.0], [0.0,0.378156417023308,0.0, 0.0], [0.0,0.0,0.4059675192977386, 0.0], [0.0,0.9145525469345416,0.0, 0.0], [0.0,0.0,0.4049187655304809, 0.0], [0.0,0.9145498617442184,0.0, 0.0], [0.0,0.3283971885777049,0.0, 0.0], [0.0,0.3276106643460431,0.0, 0.0]]
0.1355, [[0.989462987097615,0.0,0.9997303037672152, 1.0], [0.0,0.7796527161729474,0.0, 0.0], [0.6827,0.4145724088010445,0.0, 0.0], [0.0,0.0,0.5270722950111055, 0.0], [0.0,0.5384280793786264,0.0, 0.0], [0.0,0.5384280793786264,0.0, 0.0], [0.3046584132055364,0.4388943557035837,0.0, 0.0], [0.26427023429179824,0.3759727744578073,0.0, 0.0], [0.0,0.4208806612637753,0.0, 0.0], [0.0,0.3422654056187837,0.0, 0.0]]
0.0015, [[0.0,0.9145525469345416,0.0, 0.0], [0.0,0.3991385883885701,0.0, 0.0], [0.0,0.0,0.5231871521941216, 0.0], [0.0,0.0,0.5229823625751268, 0.0], [0.0,0.0,0.3748011722646574, 0.0], [0.0,0.441737975250793,0.0, 0.0], [0.0,0.9145498617442184,0.0, 0.0], [0.0,0.4418432687428562,0.0, 0.0], [0.0,0.4682544571490461,0.0, 0.0], [0.0,0.3682575637796885,0.0, 0.0]]
0.1111, [[0.0,0.5745017420807884,0.0, 0.0], [1.0,0.0,1.0, 0.8137092604559348], [0.0,0.5745017420807884,0.0, 0.0], [0.0,0.3794314010864558,0.0, 0.0], [0.0,0.0,0.5233262487576256, 0.0], [0.0,0.5118167135980352,0.0, 0.0], [0.0,0.0,0.0987777394508727, 0.0], [0.0,0.4915385717558237,0.0, 0.0], [0.0,0.3447755410548043,0.0, 0.0], [0.0,0.3859953166540898,0.0, 0.0]]
