run,budget,hv
1,10,0.04207
1,20,0.04207
1,30,0.043636862533783786
1,40,0.09823789920277734
1,50,0.09823789920277734
1,60,0.09823789920277734
1,70,0.09823789920277734
1,80,0.15110375153938915
1,90,0.265481620200386
1,100,0.265481620200386
1,110,0.265481620200386
1,120,0.6980311315238368
1,130,0.6980311315238368
1,140,0.6980311315238368
1,150,0.6980311315238368
1,160,0.6980311315238368
1,170,0.7055601935314745
1,180,0.7055601935314745
1,190,0.7055601935314745
1,200,0.7055601935314745
1,210,0.7055601935314745
1,220,0.7055601935314745
1,230,0.8930581998620792
1,240,0.8930581998620792
1,246,0.8930581998620792
2,10,0.04237318839786574
2,20,0.04237318839786574
2,30,0.04237318839786574
2,40,0.34747301294073063
2,50,0.34747301294073063
2,60,0.34747301294073063
2,70,0.34747301294073063
2,80,0.34747301294073063
2,90,0.34747301294073063
2,100,0.34747301294073063
2,110,0.34747301294073063
2,120,0.34747301294073063
2,130,0.34747301294073063
2,140,0.34747301294073063
2,150,0.392683786477496
2,160,0.4200055853138097
2,170,0.4200055853138097
2,180,0.4200055853138097
2,190,0.4200055853138097
2,200,0.4200055853138097
2,210,0.4200055853138097
2,220,0.4200055853138097
2,230,0.4200055853138097
2,240,0.4200055853138097
2,247,0.4200055853138097
3,10,0.1532102811521306
3,20,0.15385693936159003
3,30,0.15385693936159003
3,40,0.15385693936159003
3,50,0.15385693936159006
3,60,0.15385693936159003
3,70,0.15385693936159003
3,80,0.1694835383280908
3,90,0.1986326580605827
3,100,0.1986326580605827
3,110,0.1986326580605827
3,120,0.1986326580605827
3,130,0.1986326580605827
3,140,0.1986326580605827
3,150,0.1986326580605827
3,160,0.1986326580605827
3,170,0.2820742440302736
3,180,0.2820742440302736
3,190,0.3517316319647834
3,200,0.3517316319647834
3,210,0.3517316319647834
3,220,0.3517316319647834
3,230,0.35186638840133433
3,240,0.35186638840133433
3,246,0.35186638840133433
4,10,0.08988075013953617
4,20,0.08988075013953617
4,30,0.08988075013953617
4,40,0.09881798865893798
4,50,0.09881798865893798
4,60,0.09881798865893798
4,70,0.09881798865893798
4,80,0.09881798865893798
4,90,0.2063015878727211
4,100,0.2063015878727211
4,110,0.2063015878727211
4,120,0.2063015878727211
4,130,0.2063015878727211
4,140,0.2450509849336974
4,150,0.24525174011130377
4,160,0.24525174011130377
4,170,0.2923603229128021
4,180,0.2923603229128021
4,190,0.2923603229128021
4,200,0.31095412962988805
4,210,0.31095412962988805
4,220,0.31095412962988805
4,230,0.31413217757927453
4,240,0.31413217757927453
4,247,0.31413217757927453
5,10,0.04207
5,20,0.04207
5,30,0.15024645782110577
5,40,0.15588070677380847
5,50,0.15588070677380847
5,60,0.15588070677380847
5,70,0.15588070677380847
5,80,0.20386117151741004
5,90,0.20386117151741004
5,100,0.22002312986227454
5,110,0.2533377779284221
5,120,0.2533377779284221
5,130,0.2533377779284221
5,140,0.2533377779284221
5,150,0.4230940400952957
5,160,0.4230940400952957
5,170,0.4230940400952957
5,180,0.4230940400952957
5,190,0.4230940400952957
5,200,0.4230940400952957
5,210,0.4230940400952957
5,220,0.42420287795341305
5,230,0.42420287795341305
5,240,0.42420287795341305
5,244,0.42420287795341305
6,10,0.050791835641891894
6,20,0.050791835641891894
6,30,0.053202405709459465
6,40,0.053202405709459465
6,50,0.05320240570945947
6,60,0.10907794063328814
6,70,0.10907794063328814
6,80,0.10907794063328814
6,90,0.10907794063328814
6,100,0.20770291305761213
6,110,0.20770291305761213
6,120,0.20770291305761213
6,130,0.20770291305761213
6,140,0.20770291305761213
6,150,0.2082753205638742
6,160,0.2082753205638742
6,170,0.2082753205638742
6,180,0.2082753205638742
6,190,0.2082753205638742
6,200,0.2444591950547265
6,210,0.2444591950547265
6,220,0.2444591950547265
6,230,0.2444591950547265
6,240,0.2444591950547265
6,246,0.2444591950547265
7,10,0.052947277392466664
7,20,0.08501727739246667
7,30,0.08974662137895315
7,40,0.08974662137895315
7,50,0.08974662137895315
7,60,0.08974662137895315
7,70,0.08974662137895315
7,80,0.16813857393922374
7,90,0.16813857393922374
7,100,0.16813857393922374
7,110,0.16813857393922374
7,120,0.35066787225819873
7,130,0.35066787225819873
7,140,0.35066787225819873
7,150,0.35066787225819873
7,160,0.35066787225819873
7,170,0.35066787225819873
7,180,0.35066787225819873
7,190,0.35066787225819873
7,200,0.5172018512975798
7,210,0.5172018512975798
7,220,0.5172018512975798
7,230,0.5172018512975798
7,240,0.5172018512975798
7,245,0.5172018512975798
8,10,0.04313134290540539
8,20,0.2760008823297903
8,30,0.2765064019581687
8,40,0.2938789432419525
8,50,0.2938789432419525
8,60,0.2938789432419525
8,70,0.2938789432419525
8,80,0.2938789432419525
8,90,0.2938789432419525
8,100,0.4817085402447518
8,110,0.4817085402447518
8,120,0.4817085402447518
8,130,0.4817085402447518
8,140,0.4817085402447518
8,150,0.4817085402447518
8,160,0.4817085402447518
8,170,0.4817085402447518
8,180,0.4817085402447518
8,190,0.4817085402447518
8,200,0.48190929542235816
8,210,0.48190929542235816
8,220,0.48190929542235816
8,230,0.48190929542235816
