mean:0.030330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1232, [[0.0,0.9827205695847694,0.0, 0.0], [1.0,0.0,1.0, 0.9101503146566372], [0.0,0.0297395027351293,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.27696437117076445,0.0,0.0, 0.0], [0.3306275936621851,0.0,0.5370062127904316, 0.0], [0.5412191966328117,0.0,0.0, 0.15379873901369562], [0.0220703809068633,0.0,0.0, 0.0], [0.3012056153263185,0.0,0.0, 0.0], [0.13483554776697998,0.0,0.0, 0.0]]
0.006, [[0.41521314256121766,0.0,0.589959326287792, 0.039884194185819156], [0.2722671870754211,0.0,0.1587310015235897, 0.0], [0.005077823042551414,0.0,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.3329925490961813,0.0,0.0, 0.0], [0.38804379740650297,0.0,0.0, 0.0], [0.2968987855735575,0.0,0.5665532451520293, 0.0], [0.0,0.0,0.0, 0.0], [0.0,1.0,0.0, 0.0], [0.0,0.0,0.0, 0.0]]
0.0028, [[0.2696281043421344,0.0,0.0, 0.0], [0.0,0.3478754044460143,0.0, 0.0], [0.037786502499677584,0.0,0.0, 0.0], [0.3674533282772686,0.0,0.1539572976145608, 0.0019825020201954297], [0.008755555049803892,0.0,0.0, 0.0], [0.0,0.1135830095845104,0.0, 0.0], [0.5392535193889708,0.0,0.0, 0.16195279988612848], [0.01186686846157931,0.0,0.0, 0.0], [0.4102620930032931,0.0,0.0, 0.04606585402831799], [0.2733472472502961,0.0,0.0, 0.0]]
0.0196, [[0.0,0.0340149581957084,0.0, 0.0], [0.5531238294408238,0.0,0.9751739437728196, 0.16096013160600622], [0.43255410149672724,0.0,0.0936100422781808, 0.06425179775688132], [0.7437180884299354,0.0,0.0, 0.2522100588053005], [0.27696437117076445,0.0,0.0, 0.0], [0.00846835688871693,0.0,0.0, 0.0], [0.23740517990850954,0.0,0.3867918415551008, 0.0], [0.01193069027515419,0.0,0.2261204248665691, 0.0], [0.0,0.0010788362057101,0.0, 0.0], [0.5437991480153532,0.0,0.0, 0.1574779143058948]]
0.0049, [[0.3448357544903232,0.0,0.1155079768496782, 0.0], [0.0,0.0081078576939443,0.0, 0.0], [0.36459695353231214,0.0,0.0, 0.0], [0.0,0.0214794514224448,0.0, 0.0], [0.27721007887351873,0.0,0.5218453838530241, 0.0], [0.0,0.0,0.0, 0.0], [0.27895924949819434,0.0,0.5867053091019659, 0.0], [0.0,0.31353447689844,0.0, 0.0], [0.3958696499335449,0.0,0.5974371176267523, 0.015860016161562587], [0.4795767868142358,0.0,0.0, 0.1029808332852639]]
0.0047, [[0.27678044961548637,0.0,0.0, 0.0], [0.2968987855735575,0.0,0.5665532451520293, 0.0], [0.36499623172246737,0.0,0.5907137221902178, 0.0], [0.28020359377062243,0.0,0.5844147271300757, 0.0], [0.0,0.0712242133370284,0.0, 0.0], [0.0,0.638199773683695,0.0, 0.0], [0.27040833406491555,0.0,0.1938119968102614, 0.0], [0.0,0.0,0.0, 0.0], [0.5120166040789992,0.0,0.0, 0.11692078843514109], [0.2937711612090635,0.0,0.0, 0.0]]
0.1326, [[0.06408108969252828,0.0,0.2941667098674309, 0.0], [0.5168509415505707,0.0,0.0, 0.1443636116753251], [0.0,0.1135830095845104,0.0, 0.0], [0.9882389126651931,0.0,0.9994374990322076, 1.0], [0.0,0.9827205695847694,0.0, 0.0], [0.743867805241835,0.0,0.0, 0.25359519520851415], [0.5531238294408238,0.0,0.9751739437728196, 0.16096013160600622], [0.2772780915319809,0.0,0.0, 0.0], [0.3251666965691394,0.0,0.5779307154212382, 0.0], [0.0,0.9827205695847694,0.0, 0.0]]
0.1321, [[0.0,0.0370344169405134,0.0, 0.0], [0.015018070506839027,0.0,0.0, 0.0], [0.48030163029790235,0.0,0.0, 0.10970885195222586], [0.5417106159437721,0.0,0.9735928599714556, 0.1585454266230104], [0.024160545301440635,0.0,0.0766003805095289, 0.0], [0.9882389126651931,0.0,0.9994374990322076, 1.0], [0.0,0.0,0.0, 0.0], [0.0,0.0171243185387118,0.0, 0.0], [0.0,0.4574900100405426,0.0, 0.0], [0.0,0.0652005379774669,0.0, 0.0]]
0.1232, [[0.0,0.9827205695847694,0.0, 0.0], [0.3526001796034951,0.0,0.1108030142769394, 0.0], [0.31485303378036117,0.0,0.0, 0.0], [0.48992116330994906,0.0,0.0, 0.13340521468180455], [0.023107485377455106,0.0,0.0, 0.0], [0.49519163541999767,0.0,0.0, 0.1244449299606069], [1.0,0.0,1.0, 0.9101503146566372], [0.0848391345577581,0.0,0.0, 0.0], [0.48918403434350877,0.0,0.0, 0.10032709042358513], [0.010765942177412625,0.0,0.0, 0.0]]
0.004, [[0.27247409882510887,0.0,0.0, 0.0], [0.28020359377062243,0.0,0.5844147271300757, 0.0], [0.0,0.0092453941469521,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.27392200211054,0.0,0.0, 0.0], [0.0,0.1135830095845104,0.0, 0.0], [0.5389279540954597,0.0,0.0, 0.1551144184008418], [0.011882823914973032,0.0,0.0, 0.0], [0.2740700014870528,0.0,0.0, 0.0]]
0.0051, [[0.0,0.1109282158183785,0.0, 0.0], [0.407940136759006,0.0,0.590283000060453, 0.025553982732753916], [0.27383530991911986,0.0,0.0, 0.0], [0.2708427529467832,0.0,0.1963936158842641, 0.0], [0.0,0.1086558105419701,0.0, 0.0], [0.009385795458855838,0.0,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.27972079968801755,0.0,0.5842819703092578, 0.0], [0.4889997521018987,0.0,0.0, 0.11603100406387235], [0.0,0.0,0.0, 0.0]]
0.0055, [[0.27721007887351873,0.0,0.5218453838530241, 0.0], [0.2772895866291858,0.0,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.4099979551236519,0.0,0.5895956147437734, 0.026880854163593298], [0.0,0.0,0.0, 0.0], [0.4201887630846901,0.0,0.0, 0.03504501602628728], [0.0,0.9827205695847694,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.2706487731814509,0.0,0.0, 0.0], [0.0,0.998058479389968,0.0, 0.0]]
0.0032, [[0.0,0.3479675096901713,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.3558804035041548,0.0,0.5305908974682395, 0.0], [0.2762210215515156,0.0,0.5218495983552723, 0.0], [0.27517161496918696,0.0,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.0,0.0229592618250478,0.0, 0.0], [0.2750322369155778,0.0,0.0, 0.0], [0.0,0.0151616746404157,0.0, 0.0], [0.0,0.0229592618250478,0.0, 0.0]]
0.002, [[0.2739679824993595,0.0,0.0, 0.0], [0.0,0.0,0.0, 0.0], [0.34506303592164234,0.0,0.0, 0.0], [0.4781823845193861,0.0,0.0, 0.10099833126506846], [0.0,0.0,0.0, 0.0], [0.02168745002541402,0.0,0.0, 0.0], [0.3432939264021854,0.0,0.1148969427493225, 0.0], [0.5258562004239171,0.0,0.0, 0.13801023905942358], [0.27391242286286926,0.0,0.0, 0.0], [0.33374810628678264,0.0,0.0, 0.0]]
0.0045, [[0.35766179850638563,0.0,0.1136061332123211, 0.0], [0.5389279540954597,0.0,0.0, 0.1551144184008418], [0.008308802354779734,0.0,0.0, 0.0], [0.0,0.638199773683695,0.0, 0.0], [0.0,0.9827205695847694,0.0, 0.0], [0.2772895866291858,0.0,0.0, 0.0], [0.27677997065310284,0.0,0.0, 0.0], [0.743867805241835,0.0,0.0, 0.25359519520851415], [0.0,0.6383450314851874,0.0, 0.0], [0.41220319928158605,0.0,0.0, 0.0254759314721163]]
