HV,front
mean:0.847454,
0.7430154884687075,"[[0.7002458647288856, 0.8010984343293955], [0.7296094567513023, 0.6463389583333334], [0.6785063358351868, 0.7484001770833332], [0.6795742627723441, 0.7208198606150792], [0.6975962514091278, 0.7179031999007948], [0.702497170163974, 0.44141766370370367], [0.692145494596097, 0.6787814191468267], [0.6963695785759066, 0.5591198092526701], [0.6886227788479875, 0.501947903202848], [0.6853237504988773, 0.0]]"
0.8539868270697933,"[[0.68390369630136, 0.8000066719944404], [0.9603201439879454, 0.0], [0.7210615890053261, 0.797997147324531], [0.8408018019386939, 0.7614378730158727], [0.8000242689210129, 0.7338040079365069], [0.7964743347751442, 0.0], [0.6953637068526655, 0.7279918973214283], [0.7393600982374894, 0.0], [0.6902578615774457, 0.6781864732142868], [0.6965384264835384, 0.0]]"
0.9285156130508729,"[[0.9764466540387539, 0.7222528075396816], [0.8408018019386939, 0.7614378730158727], [0.7668837652829281, 0.7689809250992057], [0.6909318100634627, 0.7430651359126978], [0.8000242689210129, 0.7338040079365069], [0.8776557235319957, 0.644198752480159], [0.6766490088512388, 0.703775059523809], [0.6819597806468317, 0.6318697063492064], [0.7392199692580459, 0.6233168804563493], [0.6891293225708824, 0.5789964327402185]]"
0.7447027799260817,"[[0.7063947558237075, 0.7383886731150784], [0.7987981403508935, 0.6323523392857162], [0.8083852980277321, 0.0], [0.695848603407915, 0.7108931999007932], [0.7597138325014691, 0.3979839192592581], [0.7511075776807287, 0.44492675333333365], [0.6861333545688033, 0.5471701209964421], [0.6890268593106956, 0.543606072597867], [0.6966149131425509, 0.3666671229629617], [0.6882692084431179, 0.0]]"
0.7919056395400634,"[[0.7592233810734234, 0.8118865552466993], [0.8431372849293974, 0.0], [0.7063947558237075, 0.7383886731150784], [0.7033587274362483, 0.7099296726190488], [0.7035679833901508, 0.6908597604166662], [0.6935987411173363, 0.7001949523809531], [0.6949783872685829, 0.4486732799999998], [0.6715503792985678, 0.6642846974206362], [0.6924413392205797, 0.6524195074404772], [0.6892390015536172, 0.43092294666666775]]"
0.7960648446341083,"[[0.6969684835474205, 0.8092745601111886], [0.9816431036930692, 0.0], [0.7546224795817348, 0.7446875892857138], [0.9158175156000931, 0.0], [0.68390369630136, 0.8000066719944404], [0.6920156115902265, 0.703785491071429], [0.7021580312042011, 0.6957924915674606], [0.7041322528934322, 0.65719089732143], [0.7392199692580459, 0.6233168804563493], [0.6548849465008754, 0.5766414604982246]]"
0.8767308849107154,"[[0.68390369630136, 0.8000066719944404], [0.8958491360295782, 0.67532231795635], [0.7210615890053261, 0.797997147324531], [0.7546224795817348, 0.7446875892857138], [0.6975442982067795, 0.762258835813492], [0.7392550015029085, 0.6740868749999995], [0.6785063358351868, 0.7484001770833332], [0.6923432053939218, 0.7042615173611104], [0.7065465622181053, 0.3671799103703697], [0.6313862244498865, 0.14787425481481573]]"
0.7782828049292635,"[[0.8233207117532803, 0.7195513844246035], [0.6895622659237841, 0.7468754325396827], [0.7607180901874723, 0.701223850694444], [0.7035679833901508, 0.6908597604166662], [0.6940619905049412, 0.36108007629629746], [0.6806075542412693, 0.6195406602182537], [0.6796507494313566, 0.5653755017793588], [0.6629174888417098, 0.47089965836298964], [0.6779319643203371, 0.3139530370370364], [0.6529727800255599, 0.37059287629629645]]"
1.1781662041282221,"[[0.9555907909317709, 0.9998745177665023], [0.9764466540387539, 0.7222528075396816], [0.7592233810734234, 0.8118865552466993], [0.7790516316644948, 0.6671033015873021], [0.6909318100634627, 0.7430651359126978], [0.7063947558237075, 0.7383886731150784], [0.7652956368492525, 0.5047209024911015], [0.7376084859944618, 0.6373570481150808], [0.6697190289157942, 0.22296218592592523], [0.6590181123765763, 0.4484193755555542]]"
