mean:0.241741,,,,,,,,,,,,,,,,,,,,
0.2158, [[0.34441027131422136, 0.0], [0.0, 0.5385005389696172], [0.3044300923894396, 0.31763886430063343], [0.10830425744547946, 0.5100758229854687], [0.2931742467689339, 0.0], [0.0, 0.498497328929987], [4.603933941308104e-05, 0.4983589405548216], [0.28150727042365387, 0.0], [0.1986755895375614, 0.0], [0.08575813522995099, 0.0]]
0.3388, [[0.0, 0.5469266649550706], [0.45823372580549243, 0.4982720634081901], [0.0, 0.5449627625160464], [0.4254, 0.32806205427974705], [0.32010787736085755, 0.4897186367239099], [0.0, 0.5340762113606342], [0.4254, 0.28590334029228237], [0.3873871364106964, 0.0], [0.0, 0.5180933791281372], [0.28489681484346496, 0.2791824592901955]]
0.1546, [[0.0, 0.49266451519154536], [0.4254, 0.12411598329854986], [0.0, 0.3606889686847564], [0.0, 0.15150597912318026], [0.24216662818185533, 0.0], [0.01707401787383638, 0.0], [0.0, 0.3074790396659704], [0.007471527081925264, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.518, [[0.0, 0.5323604517833553], [0.7609038955785108, 0.4976416274768825], [0.0, 0.5007135931307798], [0.0, 0.5191307793923383], [0.4254, 0.0], [0.0, 0.5092278097754296], [0.4254, 0.0], [0.0, 0.506944401585205], [0.23977293373983188, 0.0], [0.15169279873884997, 0.4295336826722309]]
0.18, [[0.04046200229577869, 0.5056763540290626], [0.0, 0.5389118599735797], [0.0, 0.5316200739762219], [0.09965543868427186, 0.20271534446763967], [0.836560688264349, 0.0], [0.0, 0.3888234780793338], [0.0, 0.47370815448852643], [0.0, 0.5076576142668433], [0.07335382178231796, 0.0], [0.5817054394726646, 0.0]]
0.3199, [[0.4254, 0.49841967767503353], [0.09510412113084567, 0.5078252179656536], [0.0, 0.5287144306472924], [0.4092044735387534, 0.0], [0.07560317236508099, 0.49646917040951155], [0.0, 0.5445869268292683], [0.0, 0.5148594478203441], [0.0, 0.5436836559691913], [0.0, 0.5268008269484807], [0.0, 0.5001313368560106]]
0.1674, [[0.08193687005864947, 0.43930858872651846], [0.35722841368887176, 0.0], [0.10190478926703439, 0.10301636743215434], [0.4254, 0.0], [0.06980221559900837, 0.5212327450462354], [0.6000230261075986, 0.0], [0.07670811651099924, 0.0], [0.02176345344550227, 0.008083290187905663], [0.0, 0.5364439339498022], [0.3197332915893961, 0.0]]
0.2703, [[0.3307972762050063, 0.4908872496697491], [0.4499564125960442, 0.0], [0.061699291862272604, 0.5140798599735803], [0.0, 0.5146546842800532], [0.4254, 0.0], [0.0, 0.4933490250990758], [0.0, 0.5019267978863938], [0.4254, 0.0], [0.41711645593108965, 0.0], [0.3903472776290762, 0.0]]
0.2613, [[0.0, 0.544586813863928], [0.6723043949651691, 0.192818885177463], [0.0, 0.2642567348643137], [0.4254, 0.0], [0.05033415207568173, 0.0], [0.07963490308798585, 0.0], [0.0, 0.0], [0.2860388446345065, 0.0], [0.3432591052848516, 0.0], [0.3258545712693787, 0.0]]
0.1151, [[0.10504204139562483, 0.022725390396664734], [0.4254, 0.0], [0.0, 0.544614320924262], [0.0, 0.536157162483488], [0.1827333707179983, 0.0], [0.36738791070997695, 0.0], [0.0, 0.19080819206681818], [0.34454731488914636, 0.0], [0.03539767496031872, 0.18310982045928811], [0.3350913082193225, 0.0]]
0.2163, [[0.2783826769153645, 0.25467935281838205], [0.0, 0.5182963487450463], [0.22123550617164628, 0.49330622721268186], [0.0, 0.5472822233632864], [0.0, 0.5472822233632864], [0.0, 0.0], [0.0, 0.5039418863936594], [0.0, 0.5102285627476885], [0.1313944085394067, 0.0], [0.0, 0.5181341268163804]]
0.2228, [[0.3808912709592523, 0.27881779958247405], [0.4147318977273944, 0.0], [0.2607040557500416, 0.0], [0.25816418149476494, 0.33000184133612914], [0.0, 0.49410119154557447], [0.0, 0.5186515455746368], [0.2579631842515419, 0.0], [0.2840745533939151, 0.0], [0.0, 0.515630322324967], [0.0, 0.5099110383091147]]
0.1452, [[0.07990456207597778, 0.4856999920739767], [0.12452944735959531, 0.2486219498956254], [0.3278919524165964, 0.0], [0.0, 0.5061919788639364], [0.0766818083170487, 0.4908987820343462], [0.055128820423149774, 0.48674687450462395], [0.0, 0.521211217965654], [0.32651238042901837, 0.0], [0.2546193210233718, 0.0], [0.06586256355492967, 0.200081691022973]]
0.1456, [[0.0, 0.5207847767503307], [0.0, 0.5030882351387059], [0.0019007670129190088, 0.49865826948480835], [0.8261119240570979, 0.0], [0.0, 0.4860533949801854], [0.0, 0.49378443593130794], [0.663210100192192, 0.0], [0.0, 0.0], [0.0, 0.4899610726552184], [0.5405553680885503, 0.0]]
0.3137, [[0.1350891716993047, 0.5185544174372527], [0.0, 0.5456804878048781], [0.4254, 0.19747336116911057], [0.5996360348406627, 0.0], [0.34232720897536134, 0.4958056750330253], [0.0, 0.5280675931307796], [0.4254, 0.0], [0.20795141564225106, 0.09567759081419565], [0.4254, 0.0], [0.06214653115942982, 0.49987941875825687]]
0.1069, [[0.0, 0.5440331707317074], [0.4254, 0.0], [0.4254, 0.0], [0.0, 0.5067178546895645], [0.0, 0.5121580554821671], [0.0, 0.5220812708058128], [0.0965050324587064, 0.0], [0.42303673836784855, 0.0], [0.0, 0.4948738599735801], [0.3787899361437359, 0.0]]
0.3272, [[0.4254, 0.0], [0.0, 0.5411442694848086], [0.0, 0.5238549484808454], [0.22123550617164628, 0.49330622721268186], [0.6359057163584276, 0.0], [0.4254, 0.0], [0.42340218790098183, 0.26605470981211654], [0.3954087536629717, 0.4758505302713965], [0.36863957536095826, 0.4098977703549071], [0.38598929194646125, 0.0]]
0.2501, [[0.0, 0.5271316776750334], [0.6639410836964033, 0.0], [0.4629206200383754, 0.0], [0.24892744454482119, 0.48625047027741086], [0.0, 0.526424871862616], [0.0, 0.49472060766182313], [0.46436108753196703, 0.0], [0.2469448808275727, 0.0], [0.0, 0.4976890383091155], [0.4254, 0.0]]
0.2512, [[0.30104968420795664, 0.5067027344782038], [0.0, 0.5306157331571996], [0.3560224302295315, 0.0], [0.0, 0.5292108348745045], [0.28997656335401756, 0.0], [0.25979956815553656, 0.0], [0.2235743831836992, 0.0], [0.06573102258517746, 0.0], [0.02619638412615174, 0.0], [0.0, 0.0]]
0.2468, [[0.0, 0.5129499445178333], [0.3169193301842695, 0.45623994154489494], [0.0, 0.49967286129458427], [0.0, 0.48703543989431997], [0.4094694244502751, 0.0], [0.0, 0.5072357859973582], [0.12788210281950269, 0.07754589979123393], [0.15515949009875424, 0.0], [0.0, 0.020203160751569124], [0.0551419745201248, 0.0]]
0.1603, [[0.35845266962486777, 0.17917959916493334], [0.0, 0.4182748141962535], [0.0, 0.5021917859973584], [0.2211258713117059, 0.0], [0.0, 0.07502367014613831], [0.0, 0.4932800871862613], [0.034003340680945515, 0.0], [0.0, 0.49015302245706754], [0.03064246890377624, 0.0], [0.0, 0.3346715114822629]]
0.1174, [[0.16624377957844988, 0.05390886012527464], [0.0, 0.5588651439326849], [0.4254, 0.0], [0.0, 0.5392375852047561], [0.24889089959150773, 0.0], [0.22683602026691355, 0.0], [0.0, 0.502563128137385], [0.23570730768372403, 0.0], [0.18781937185785946, 0.0], [0.168706955018383, 0.0]]
0.2595, [[0.4254, 0.0], [0.4254, 0.22062418789144128], [0.4254, 0.0], [0.26859776566572013, 0.4676254279749475], [0.4254, 0.0], [0.14678925503898446, 0.0], [0.0, 0.0], [0.0, 0.35149144050105036], [0.01384468706641979, 0.4205792609603391], [0.0, 0.14777834655533137]]
0.1491, [[0.0, 0.5845400845881319], [0.6345082478944949, 0.0], [0.05129440115487274, 0.33505643006263847], [0.4254, 0.0], [0.4254, 0.0], [0.0, 0.5034316433289302], [0.0, 0.11147444676409952], [0.4254, 0.0], [0.0, 0.4956329458388377], [0.0, 0.0]]
0.2575, [[0.0, 0.5397880634081902], [0.4254, 0.2835279874739161], [0.5613883979585644, 0.0], [0.4254, 0.0], [0.10268088098857261, 0.4259326680584572], [0.3786985737604526, 0.0], [0.5087575856553711, 0.0], [0.4254, 0.0], [0.04534874932207337, 0.4726394989561664], [0.0, 0.4915556142668426]]
0.1709, [[0.04901874237815966, 0.523410055482167], [0.4691124803093383, 0.0], [0.0, 0.48874402377807163], [0.01408803786046118, 0.4871069405548217], [0.09967516982973487, 0.49420344517833575], [0.5788675035151385, 0.0], [0.4254, 0.0], [0.0, 0.017250430062639478], [0.4254, 0.0], [0.4254, 0.0]]
0.2776, [[0.0, 0.5476531450577664], [0.4254, 0.0], [0.0766818083170487, 0.4908987820343462], [0.0, 0.5074354240422727], [0.0, 0.5416012073976223], [0.41722609079102935, 0.0], [0.06118628208023882, 0.48798109379128135], [0.0, 0.5359021690885079], [0.3883647139118277, 0.0], [0.3516644445469173, 0.48226752818372454]]
0.1415, [[0.0, 0.5014680660501984], [0.10109581230305861, 0.4905494795244384], [0.258931625514345, 0.0], [0.31777813658713283, 0.0], [0.0, 0.2281351649269336], [0.0, 0.0], [0.24890917206816413, 0.0], [0.0, 0.0], [0.07634637884418068, 0.0], [0.06408676046327487, 0.0]]
0.3084, [[0.0, 0.544651486521181], [0.0, 0.5276316697490092], [0.023657643409934242, 0.5181679550858653], [0.42090799483734753, 0.21064669311064788], [0.0, 0.5271570488771468], [0.410501819381377, 0.0], [0.37073177393814644, 0.5157887001321002], [0.30165267593762646, 0.0], [0.2636276520151079, 0.5090924966974906], [0.2036482473896067, 0.0]]
0.2957, [[0.6585232059593089, 0.0], [0.2053293152420193, 0.5145967661822987], [0.0, 0.5177138361955089], [0.4063448309419858, 0.2888104885177536], [0.2264066170654822, 0.4943200501981505], [0.4254, 0.0], [0.4254, 0.0], [0.0, 0.33522863048017215], [0.4254, 0.0], [0.35991446775740094, 0.0]]
0.3172, [[0.3637608240936293, 0.5054400686922059], [0.4254, 0.0], [0.0, 0.532123141347424], [0.4254, 0.0], [0.7010922453221854, 0.0], [0.06773702237389863, 0.37263663883090425], [0.09580786531901979, 0.0], [0.39405659039037894, 0.0], [0.4254, 0.0], [0.0, 0.5040205627476884]]
0.1028, [[0.0, 0.5022002430647291], [0.4254, 0.0], [0.0, 0.48981550858652584], [0.09121708547466757, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2679, [[0.0, 0.5477549833119384], [0.3364617439685723, 0.48586964597093796], [0.29765100354981666, 0.501577495376486], [0.2869890134206532, 0.0], [0.09213787226293303, 0.5158566129458393], [0.06972986806564475, 0.0], [0.0, 0.535863984147953], [0.0448554706855026, 0.0], [0.0, 0.506561014531044], [0.0, 0.5266990858652576]]
0.2365, [[0.0, 0.536157162483488], [0.4482579509244948, 0.0], [0.0, 0.5305821611624837], [0.4254, 0.0], [0.0, 0.5210969194187582], [0.4254, 0.0], [0.0, 0.5162200105680315], [0.38845607629511103, 0.0], [0.0, 0.5086101875825627], [0.26347233596352587, 0.4859265389696172]]
0.107, [[0.0, 0.5449605596919127], [0.0, 0.48975323381770125], [0.4254, 0.0], [0.0, 0.5080256248348745], [0.0, 0.4853076354029067], [0.0, 0.0], [0.2351408609073677, 0.0], [0.0, 0.4997874161162481], [0.0, 0.0], [0.37529989310231254, 0.0]]
0.1499, [[0.0, 0.5296659788639364], [0.34540612129200976, 0.10828367432150565], [0.4254, 0.07784978288101076], [0.0032885242438051754, 0.32620330271399967], [0.0, 0.4980796010568037], [0.4254, 0.0], [0.3321859844309125, 0.0], [0.06318570482047245, 0.0], [0.41237474823868503, 0.0], [0.0, 0.5169673077939239]]
0.3528, [[0.4852156169168106, 0.4941055482166444], [0.0, 0.5455504646983312], [0.37693527976308416, 0.2099528267223454], [0.0, 0.5233206155878474], [0.24219403689683994, 0.0], [0.3278919524165964, 0.0], [0.3497549707362957, 0.0], [0.0, 0.5189267846763539], [0.305151855217378, 0.0], [0.0, 0.5154809141347427]]
0.2371, [[0.33368432751675914, 0.0], [0.1948439832976658, 0.521407524438574], [0.0, 0.5457383260590501], [0.27098232386941534, 0.4935589141347429], [0.0, 0.5089082351387059], [0.09510412113084567, 0.5078252179656536], [0.0, 0.5389118599735797], [0.24543740150339788, 0.0], [0.0, 0.0], [0.0, 0.5369923619550864]]
0.3173, [[0.4254, 0.5038588533685606], [0.4254, 0.3053164050104461], [0.42495534841679833, 0.0], [0.39077668083050754, 0.0], [0.3694892455254934, 0.4870841321003965], [0.09570263254321812, 0.4612894655532362], [0.09334804918465343, 0.1252099624217141], [0.08110816194921067, 0.3301537828810086], [0.0, 0.293338346555326], [0.0, 0.4951780581241749]]
0.169, [[0.24806863814195784, 0.18493311899791318], [0.35419518256386506, 0.0], [0.07614249034106484, 0.5210023540290623], [0.27206953623048635, 0.0], [0.0, 0.09464945302714403], [0.010871861150019623, 0.0642358204593033], [0.22501790883957531, 0.0], [0.0, 0.07870572025052877], [0.1800877378380712, 0.0], [0.10890934590633942, 0.0]]
0.2526, [[0.3696536978154036, 0.0], [0.0, 0.5470322310654685], [0.4459575028377137, 0.0], [0.2752032659771046, 0.5207752945838836], [0.0, 0.5335849326287982], [0.4209628122673174, 0.0], [0.0, 0.5090130515191544], [0.0, 0.5110299339498018], [0.3791553856768691, 0.0], [0.07040730405986881, 0.5000488163804491]]
0.1071, [[0.0, 0.5264215402906206], [0.4254, 0.0], [0.0, 0.5455950295250321], [0.13844182715921374, 0.0], [0.0, 0.537832686922061], [0.16697360933843086, 0.0], [0.15515949009875424, 0.0], [0.0, 0.5326131387054163], [0.0916774788688003, 0.0], [0.0, 0.5221937754293267]]
0.34, [[0.0, 0.5805430163861838], [0.4254, 0.5005823804491416], [0.0, 0.5440729910141208], [0.4254, 0.0], [0.35105231657891867, 0.3001554572025158], [0.5904557420083664, 0.0], [0.4254, 0.0], [0.2264066170654822, 0.4943200501981505], [0.2642397799831059, 0.0], [0.4013473085763877, 0.0]]
0.2715, [[0.03323382600789482, 0.523759614266843], [0.37126167576118996, 0.38985668058455347], [0.4239138172473683, 0.0], [0.0, 0.521211217965654], [0.3381702205359702, 0.3312882797494812], [0.41647691924810637, 0.0], [0.11641009127981668, 0.5195864359313084], [0.38291037962981356, 0.0], [0.1757771808181891, 0.5031292391017171], [0.03147117701321553, 0.49739637252311775]]
0.1585, [[0.4254, 0.0], [0.26976720417174693, 0.015016889352816575], [0.0, 0.5220553870541613], [0.0, 0.5467726931964056], [0.11894168825974857, 0.4121870229645065], [0.1307786146794226, 0.0], [0.0, 0.5213885601056806], [0.09200633129318082, 0.0], [0.10466057258334323, 0.0], [0.0, 0.5108282457067373]]
0.0589, [[0.4254, 0.0], [0.0, 0.06360779540709544], [0.006083769851039575, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.1057, [[0.4254, 0.0], [0.0, 0.5312559075297225], [0.261763859396128, 0.0], [0.0, 0.5248085468956412], [0.09339408852406698, 0.0], [0.0, 0.5044687873183621], [0.08200921759201309, 0.0], [0.0, 0.49173936327609], [0.0, 0.0], [0.0, 0.0]]
