HV,front
mean:0.134237,
0.1985912169657422,"[[0.0, 0.8859121696574218], [1.0, 0.0], [0.0, 0.8184057636887625], [0.979780140452724, 0.0], [0.0, 0.7966723342939479], [0.8905830446845395, 0.0], [0.0, 0.7906181556195977], [0.8763584618444641, 0.0], [0.0, 0.7885832853025927], [0.8518093814328141, 0.0]]"
0.09927133376835218,"[[0.0, 0.8927133376835217], [0.0, 0.8408663230016304], [0.0, 0.5091305475504307], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.020744299021399723,"[[0.10744299021399721, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.10648361244077886,"[[0.9648361244077887, 0.0], [0.13139969906814522, 0.0], [0.11441817859211213, 0.0], [0.062339678364017714, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.20648361244077887,"[[0.9648361244077887, 0.0], [0.0, 1.0], [0.9282712473113678, 0.0], [0.0, 0.8927133376835217], [0.8905830446845395, 0.0], [0.0, 0.8882588923327868], [0.8763584618444641, 0.0], [0.0, 0.8859121696574218], [0.8518093814328141, 0.0], [0.0, 0.8408663230016304]]"
0.0755975504322765,"[[0.0, 0.6559755043227651], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.19507482940652104,"[[0.9648361244077887, 0.0], [0.0, 0.8859121696574218], [0.9282712473113678, 0.0], [0.0, 0.7966723342939479], [0.0, 0.7966723342939479], [0.8936753453019453, 0.0], [0.0, 0.759504610951007], [0.8905830446845395, 0.0], [0.0, 0.7554394812680103], [0.8518093814328141, 0.0]]"
0.21000000000000002,"[[1.0, 0.0], [0.0, 1.0], [0.979780140452724, 0.0], [0.0, 0.97485202790701], [0.8905830446845395, 0.0], [0.0, 0.8927133376835217], [0.6311641362502673, 0.0], [0.0, 0.8184057636887625], [0.3941271310891766, 0.0], [0.0, 0.8022487031700294]]"
0.0834564553314121,"[[0.0, 0.734564553314121], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.21000000000000002,"[[0.0, 1.0], [1.0, 0.0], [0.0, 0.8927133376835217], [0.979780140452724, 0.0], [0.0, 0.8882588923327868], [0.9648361244077887, 0.0], [0.0, 0.8408663230016304], [0.6311641362502673, 0.0], [0.0, 0.8184057636887625], [0.3941271310891766, 0.0]]"
0.07073458523407836,"[[0.06533029038112839, 0.0], [0.0, 0.5420155619596552], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.1985912169657422,"[[0.0, 0.8859121696574218], [1.0, 0.0], [0.0, 0.8408663230016304], [0.979780140452724, 0.0], [0.0, 0.8184057636887625], [0.9648361244077887, 0.0], [0.0, 0.8183089337175797], [0.9282712473113678, 0.0], [0.0, 0.7966723342939479], [0.8905830446845395, 0.0]]"
0.01269487087479569,"[[0.026948708747956872, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.18832963823680612,"[[0.8905830446845395, 0.0], [0.0, 0.8927133376835217], [0.10744299021399721, 0.0], [0.0, 0.8882588923327868], [0.07172130673258025, 0.0], [0.0, 0.7909587896253614], [0.006178391241989391, 0.0], [0.0, 0.7616579250720465], [0.0, 0.7376334293948128], [0.0, 0.688387319884726]]"
0.11822950181210072,"[[0.10744299021399721, 0.0], [0.0, 0.97485202790701], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.010000000000000002,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
0.19530950167405753,"[[0.0, 0.8882588923327868], [0.9648361244077887, 0.0], [0.0, 0.8859121696574218], [0.8905830446845395, 0.0], [0.0, 0.8256305475504337], [0.8518093814328141, 0.0], [0.0, 0.8183089337175797], [0.713373502202077, 0.0], [0.0, 0.7966723342939479], [0.7010420973091859, 0.0]]"
0.207485202790701,"[[1.0, 0.0], [0.0, 0.97485202790701], [0.979780140452724, 0.0], [0.0, 0.8256305475504337], [0.3941271310891766, 0.0], [0.0, 0.8184057636887625], [0.35507768226198727, 0.0], [0.0, 0.8139463976945268], [0.10857645832544088, 0.0], [0.0, 0.8022487031700294]]"
0.015657642896660228,"[[0.056576428966602296, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
0.11891156827505044,"[[0.0, 1.0], [0.08911568275050433, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]"
