run,budget,hv
1,10,0.018110666666666688
1,20,0.018110666666666688
1,30,0.018110666666666685
1,40,0.018110666666666685
1,50,0.018110666666666685
1,60,0.07167364487872566
1,70,0.07892401428269916
1,80,0.07892401428269916
1,90,0.07892401428269916
1,100,0.07892401428269916
1,110,0.07892401428269916
1,120,0.07892401428269916
1,130,0.07892401428269916
1,140,0.07892401428269916
1,150,0.07892401428269916
1,160,0.07892401428269916
1,170,0.07892401428269916
1,180,0.07892401428269916
1,190,0.07892401428269916
1,200,0.07892401428269916
1,210,0.07892401428269916
1,220,0.07892401428269916
1,230,0.07892401428269916
1,240,0.07892401428269916
1,250,0.07892401428269916
1,260,0.07892401428269916
1,270,0.07892401428269916
1,280,0.07892401428269916
1,290,0.07892401428269916
1,300,0.07892401428269916
2,10,0.09686555254237286
2,20,0.09686555254237286
2,30,0.09686555254237286
2,40,0.09686555254237286
2,50,0.09686555254237286
2,60,0.0976772406779661
2,70,0.0976772406779661
2,80,0.0976772406779661
2,90,0.0976772406779661
2,100,0.0976772406779661
2,110,0.446923961886846
2,120,0.446923961886846
2,130,0.446923961886846
2,140,0.446923961886846
2,150,0.446923961886846
2,160,0.446923961886846
2,170,0.446923961886846
2,180,0.446923961886846
2,190,0.446923961886846
2,200,0.446923961886846
2,210,0.446923961886846
2,220,0.446923961886846
2,230,0.446923961886846
2,240,0.446923961886846
2,250,0.446923961886846
2,260,0.446923961886846
2,270,0.446923961886846
2,280,0.446923961886846
2,290,0.4538930398529477
2,300,0.4538930398529477
3,10,0.010000000000000002
3,20,0.010000000000000002
3,30,0.011369694771241834
3,40,0.044324368853169815
3,50,0.044324368853169815
3,60,0.044324368853169815
3,70,0.044324368853169815
3,80,0.044324368853169815
3,90,0.044324368853169815
3,100,0.04432436885316981
3,110,0.04432436885316981
3,120,0.04432436885316981
3,130,0.044324368853169815
3,140,0.044324368853169815
3,150,0.04432436885316982
3,160,0.04432436885316982
3,170,0.04432436885316982
3,180,0.044324368853169815
3,190,0.044324368853169815
3,200,0.044324368853169815
3,210,0.044324368853169815
3,220,0.04665567229687842
3,230,0.04665567229687842
3,240,0.04665567229687842
3,250,0.04665567229687842
3,260,0.10697762208777634
3,270,0.10697762208777634
3,280,0.10697762208777631
3,290,0.10697762208777631
3,300,0.10697762208777631
4,10,0.010000000000000002
4,20,0.010000000000000002
4,30,0.020700317647058795
4,40,0.020700317647058795
4,50,0.09686555254237286
4,60,0.09686555254237286
4,70,0.09686555254237286
4,80,0.09686555254237286
4,90,0.09686555254237286
4,100,0.09686555254237286
4,110,0.09686555254237286
4,120,0.09686555254237286
4,130,0.09686555254237286
4,140,0.09686555254237286
4,150,0.10464631864406776
4,160,0.10464631864406776
4,170,0.11578382473678298
4,180,0.11578382473678298
4,190,0.11846059083847785
4,200,0.11846059083847785
4,210,0.11846059083847787
4,220,0.11846059083847787
4,230,0.11846059083847787
4,240,0.11846059083847787
4,250,0.11846059083847787
4,260,0.11846059083847787
4,270,0.11846059083847785
4,280,0.11846059083847785
4,290,0.11846059083847785
4,300,0.11846059083847785
5,10,0.010000000000000002
5,20,0.10464631864406776
5,30,0.10464631864406776
5,40,0.10464631864406776
5,50,0.10464631864406776
5,60,0.10464631864406776
5,70,0.10464631864406776
5,80,0.10464631864406776
5,90,0.10464631864406776
5,100,0.10464631864406776
5,110,0.10464631864406776
5,120,0.10464631864406776
5,130,0.10464631864406776
5,140,0.10464631864406776
5,150,0.10464631864406776
5,160,0.10464631864406776
5,170,0.1887178654996188
5,180,0.1887178654996188
5,190,0.1887178654996188
5,200,0.1887178654996188
5,210,0.1887178654996188
5,220,0.1887178654996188
5,230,0.1887178654996188
5,240,0.1887178654996188
5,250,0.1887178654996188
5,260,0.1887178654996188
5,270,0.1887178654996188
5,280,0.1887178654996188
5,290,0.1887178654996188
5,300,0.1887178654996188
6,10,0.018110666666666688
6,20,0.38417139332976796
6,30,0.38417139332976796
6,40,0.38417139332976796
6,50,0.38417139332976796
6,60,0.440977342837202
6,70,0.440977342837202
6,80,0.440977342837202
6,90,0.446923961886846
6,100,0.446923961886846
6,110,0.446923961886846
6,120,0.446923961886846
6,130,0.446923961886846
6,140,0.446923961886846
6,150,0.446923961886846
6,160,0.446923961886846
6,170,0.446923961886846
6,180,0.446923961886846
6,190,0.446923961886846
6,200,0.446923961886846
6,210,0.446923961886846
6,220,0.446923961886846
6,230,0.446923961886846
6,240,0.446923961886846
6,250,0.446923961886846
6,260,0.446923961886846
6,270,0.4469239618868461
6,280,0.4469239618868461
6,290,0.4469239618868461
6,300,0.4469239618868461
7,10,0.026568933333333343
7,20,0.03381930273730685
7,30,0.03381930273730685
7,40,0.03381930273730685
7,50,0.0989809910322956
7,60,0.0989809910322956
7,70,0.0989809910322956
7,80,0.0989809910322956
7,90,0.0989809910322956
7,100,0.0989809910322956
7,110,0.0989809910322956
7,120,0.0989809910322956
7,130,0.0989809910322956
7,140,0.0989809910322956
7,150,0.0989809910322956
7,160,0.0989809910322956
7,170,0.0989809910322956
7,180,0.0989809910322956
7,190,0.0989809910322956
7,200,0.0989809910322956
7,210,0.0989809910322956
7,220,0.0989809910322956
7,230,0.0989809910322956
7,240,0.0989809910322956
7,250,0.0989809910322956
7,260,0.0989809910322956
7,270,0.0989809910322956
7,280,0.0989809910322956
7,290,0.0989809910322956
7,300,0.0989809910322956
8,10,0.010000000000000002
8,20,0.04095907984735906
8,30,0.06318783088086481
8,40,0.0631878308808648
8,50,0.0631878308808648
8,60,0.0631878308808648
8,70,0.0631878308808648
8,80,0.0631878308808648
8,90,0.0631878308808648
8,100,0.0631878308808648
8,110,0.0631878308808648
8,120,0.0631878308808648
8,130,0.0631878308808648
8,140,0.0631878308808648
8,150,0.0631878308808648
8,160,0.0631878308808648
8,170,0.0631878308808648
8,180,0.0631878308808648
8,190,0.0631878308808648
8,200,0.0631878308808648
8,210,0.0631878308808648
8,220,0.0631878308808648
8,230,0.1472593777364159
8,240,0.1472593777364159
8,250,0.1472593777364159
8,260,0.1472593777364159
8,270,0.1472593777364159
8,280,0.1472593777364159
8,290,0.1472593777364159
8,300,0.1472593777364159
9,10,0.02113750609271523
9,20,0.02113750609271523
9,30,0.04747769429748748
9,40,0.11578382473678298
9,50,0.11578382473678298
9,60,0.11578382473678298
9,70,0.11578382473678298
9,80,0.11578382473678298
9,90,0.11578382473678298
9,100,0.11578382473678298
9,110,0.11578382473678298
9,120,0.11578382473678298
9,130,0.11578382473678298
9,140,0.11578382473678298
9,150,0.11578382473678298
9,160,0.11578382473678298
9,170,0.14500066135171974
9,180,0.14500066135171974
9,190,0.14500066135171974
9,200,0.14500066135171974
9,210,0.14500066135171974
9,220,0.14500066135171974
9,230,0.14500066135171974
9,240,0.14500066135171974
9,250,0.14500066135171974
9,260,0.14500066135171974
9,270,0.14500066135171974
9,280,0.14500066135171974
9,290,0.14500066135171974
9,300,0.14500066135171974
10,10,0.010000000000000002
10,20,0.022638037908496722
10,30,0.022638037908496722
10,40,0.022638037908496722
10,50,0.022638037908496722
10,60,0.022638037908496722
10,70,0.022638037908496722
10,80,0.022638037908496722
10,90,0.022638037908496722
10,100,0.022638037908496722
10,110,0.022638037908496722
10,120,0.022638037908496722
10,130,0.022638037908496722
10,140,0.10705935339149875
10,150,0.10705935339149875
10,160,0.15574519173427673
10,170,0.15574519173427673
10,180,0.15574519173427673
10,190,0.15574519173427673
10,200,0.15574519173427673
10,210,0.15574519173427673
10,220,0.15574519173427673
10,230,0.15574519173427673
10,240,0.15574519173427673
10,250,0.15574519173427673
10,260,0.15574519173427673
10,270,0.15574519173427673
10,280,0.15574519173427673
10,290,0.15574519173427673
10,300,0.15574519173427673
11,10,0.032571172581727974
11,20,0.032571172581727974
11,30,0.032571172581727974
11,40,0.032571172581727974
11,50,0.03257117258172797
11,60,0.03257117258172797
11,70,0.03257117258172797
11,80,0.03257117258172797
11,90,0.03257117258172797
11,100,0.03257117258172797
11,110,0.03982154198570147
11,120,0.03982154198570147
11,130,0.03982154198570147
11,140,0.03982154198570147
11,150,0.03982154198570147
11,160,0.03982154198570147
11,170,0.03982154198570147
11,180,0.03982154198570147
11,190,0.03982154198570147
11,200,0.03982154198570147
11,210,0.03982154198570147
11,220,0.03982154198570147
11,230,0.03982154198570147
11,240,0.03982154198570147
11,250,0.03982154198570147
11,260,0.03982154198570147
11,270,0.03982154198570147
11,280,0.04370867867444318
11,290,0.04370867867444318
11,300,0.04370867867444318
12,10,0.010000000000000002
12,20,0.010000000000000002
12,30,0.044324368853169815
12,40,0.044324368853169815
12,50,0.10999992542372877
12,60,0.10999992542372877
12,70,0.10999992542372877
12,80,0.10999992542372877
12,90,0.10999992542372877
12,100,0.10999992542372877
12,110,0.10999992542372877
12,120,0.10999992542372877
12,130,0.10999992542372877
12,140,0.10999992542372877
12,150,0.10999992542372877
12,160,0.10999992542372877
12,170,0.10999992542372877
12,180,0.10999992542372877
12,190,0.10999992542372872
12,200,0.10999992542372872
12,210,0.10999992542372872
12,220,0.10999992542372872
12,230,0.10999992542372872
12,240,0.10999992542372872
12,250,0.10999992542372872
12,260,0.10999992542372872
12,270,0.10999992542372872
12,280,0.10999992542372872
12,290,0.10999992542372872
12,300,0.10999992542372872
13,10,0.38417139332976796
13,20,0.38417139332976796
13,30,0.38417139332976796
13,40,0.38417139332976796
13,50,0.38417139332976796
13,60,0.38417139332976796
13,70,0.4592466466326087
13,80,0.4592466466326087
13,90,0.4592466466326087
13,100,0.4592466466326087
13,110,0.4592466466326087
13,120,0.4592466466326087
13,130,0.4592466466326087
13,140,0.4592466466326087
13,150,0.4592466466326087
13,160,0.4592466466326087
13,170,0.4592466466326087
13,180,0.4592466466326087
13,190,0.4592466466326087
13,200,0.4592466466326087
13,210,0.4592466466326087
13,220,0.4592466466326087
13,230,0.4592466466326087
13,240,0.4592466466326087
13,250,0.4592466466326087
13,260,0.4592466466326087
13,270,0.4592466466326087
13,280,0.4592466466326087
13,290,0.4592466466326087
13,300,0.4592466466326087
14,10,0.010000000000000002
14,20,0.010000000000000002
14,30,0.010000000000000002
14,40,0.010000000000000002
14,50,0.010000000000000002
14,60,0.02511497189542481
14,70,0.02511497189542481
14,80,0.02511497189542481
14,90,0.03427087467688176
14,100,0.03427087467688176
14,110,0.03427087467688176
14,120,0.10683314345942305
14,130,0.10683314345942305
14,140,0.10881474677068131
14,150,0.10881474677068131
14,160,0.10881474677068131
14,170,0.10881474677068131
14,180,0.10881474677068131
14,190,0.1268131869827404
14,200,0.1268131869827404
14,210,0.12681318698274047
14,220,0.12681318698274047
14,230,0.12681318698274047
14,240,0.1268131869827404
14,250,0.1268131869827404
14,260,0.1268131869827404
14,270,0.1268131869827404
14,280,0.1268131869827404
14,290,0.1268131869827404
14,300,0.1268131869827404
15,10,0.010000000000000002
15,20,0.010000000000000002
15,30,0.07991548254660849
15,40,0.07991548254660849
15,50,0.07991548254660849
15,60,0.07991548254660849
15,70,0.07991548254660849
15,80,0.07991548254660849
15,90,0.07991548254660849
15,100,0.07991548254660849
15,110,0.07991548254660849
15,120,0.07991548254660849
15,130,0.07991548254660849
15,140,0.07991548254660849
15,150,0.09088417874851254
15,160,0.09088417874851254
15,170,0.09088417874851254
15,180,0.09088417874851254
15,190,0.09088417874851254
15,200,0.09088417874851254
15,210,0.09088417874851254
15,220,0.09088417874851254
15,230,0.09088417874851254
15,240,0.09088417874851254
15,250,0.09088417874851254
15,260,0.09088417874851254
15,270,0.09088417874851254
15,280,0.09088417874851254
15,290,0.09088417874851254
15,300,0.09088417874851254
16,10,0.07167364487872566
16,20,0.07167364487872566
16,30,0.07167364487872566
16,40,0.07167364487872566
16,50,0.07167364487872566
16,60,0.07167364487872566
16,70,0.07167364487872566
16,80,0.07167364487872566
16,90,0.07167364487872566
16,100,0.07167364487872566
16,110,0.07167364487872566
16,120,0.07400494832243423
16,130,0.07400494832243423
16,140,0.07400494832243423
16,150,0.07400494832243423
16,160,0.07400494832243423
16,170,0.07400494832243423
16,180,0.07400494832243423
16,190,0.07400494832243423
16,200,0.07400494832243423
16,210,0.07400494832243423
16,220,0.07400494832243423
16,230,0.07400494832243423
16,240,0.07400494832243423
16,250,0.07400494832243423
16,260,0.07400494832243423
16,270,0.07400494832243423
16,280,0.07400494832243423
16,290,0.07400494832243423
16,300,0.07400494832243423
17,10,0.010000000000000002
17,20,0.042032738313434174
17,30,0.042032738313434174
17,40,0.042032738313434174
17,50,0.09767724067796607
17,60,0.09767724067796607
17,70,0.09767724067796607
17,80,0.09767724067796607
17,90,0.09767724067796607
17,100,0.09767724067796607
17,110,0.09767724067796607
17,120,0.09767724067796607
17,130,0.09767724067796607
17,140,0.09767724067796607
17,150,0.09767724067796607
