mean:0.014471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0694, [[0.9942004908693792,0.4436361093884591, 0.016693861326165557], [0.09451705156212072,0.1361261079298794, 0.003491264267731739], [0.009672232046880959,0.0249044275225651, 0.00321035794733953], [0.014198836644821248,0.0289081365793263, 0.0030498400499725537], [0.0001160667845625716,0.0012893300352281, 0.002969581101289065], [3.868892818752387e-05,0.0, 0.002728804255238601], [0.016713616977010296,0.0287045581527113, 0.00040129474341744155], [0.0002321335691251432,0.0321653914051659, 0.00044142421775918573], [0.014160147716633724,0.0238865353894903, 0.00044142421775918573], [0.01756477339713582,0.0235472380117986, 0.00032103579473395324]]
0.0184, [[0.30622286660425113,0.2699391219595943, 0.022432376157034965], [0.09401409549568292,0.1409441306931004, 0.004735277972325807], [0.06410755400672699,0.1329367125795781, 0.0076246001249313826], [0.062289174381913365,0.1347689184191129, 0.00477540744666755], [0.06700922362079127,0.1114931183094675, 0.0036116526907569715], [0.00046426713825028555,0.0, 8.025894868348831e-05], [0.0004255782100627617,0.0040037090567611, 0.0005618126407844182], [0.0004255782100627617,0.0023750816438413, 0.00016051789736697662], [0.0004255782100627617,0.0004750163287682, 0.002006473717087206], [0.0005029560664378094,0.0041394280078378, 0.0018860852940619736]]
0.0673, [[0.7730728120101593,0.4360569900635233, 0.04382138598118458], [0.06960138180935538,0.1371440000629542, 0.007544341176247894], [0.10202270363050035,0.1826777081491702, 0.0016051789736697653], [0.01779690696626097,0.0227329243053387, 0.00020064737170872077], [3.868892818752387e-05,0.0008821731819982, 0.0007624600124931382], [0.0004255782100627617,0.0, 0.00012038842302523248], [0.014237525573008773,0.0289759960548646, 0.0003611652690756974], [0.0023213356912514297,0.0030536763992246, 0.0004815536921009299], [3.868892818752387e-05,0.0291117150059413, 0.0002809063203922091], [3.868892818752387e-05,0.0307403424188611, 0.00024077684605046496]]
0.0049, [[0.08310381774680119,0.1586554538086032, 0.004012947434174412], [0.08294906203405109,0.1353796536989578, 0.00321035794733953], [0.01946053087832449,0.0876744423955155, 0.00016051789736697662], [0.01029125489788134,0.0249044275225651, 0.0021268621401124383], [0.013889325219321055,0.0265330549354849, 0.0004815536921009299], [0.010175188113318768,0.0242936922427202, 0.0022472505631376707], [0.00974960990325601,0.0254473033268717, 0.00204660319142895], [0.009633543118693435,0.0198828263327291, 0.0021268621401124383], [0.009594854190505913,0.0253794438513334, 0.0018058263453784853], [0.00046426713825028555,0.0350154893777755, 8.025894868348831e-05]]
0.0073, [[0.13541124865633342,0.1938066621374554, 0.001484790550644533], [0.10465355074725198,0.1756203226931844, 0.0016051789736697653], [0.08492219737161481,0.1313759446421966, 0.0073035643301974295], [0.04337028849821421,0.0918138704033533, 0.00016051789736697662], [3.868892818752387e-05,0.0040715685322994, 0.0003611652690756974], [0.0,0.033658299867009, 0.0002809063203922091], [7.737785637504774e-05,0.0308760613699377, 0.00024077684605046496], [0.0004255782100627617,0.0320296724540892, 0.0], [0.0002708224973126671,0.0297224502857862, 0.00024077684605046496], [0.0004255782100627617,0.0299260287124012, 0.0]]
0.0066, [[0.03021605291445611,0.0825171222546028, 0.0026084158322133687], [0.11803991990013522,0.1973353548654483, 0.0016051789736697653], [0.06983351537848052,0.0776990994913818, 0.0002809063203922091], [0.025379936891015635,0.0380691657770001, 0.0006822010638096507], [0.020969399077637917,0.0589020247672658, 0.0009229779098601147], [0.010523388467006482,0.0555769104658879, 0.0008828484355183706], [0.0035593813932521933,0.039087057910075, 0.0008427189611766264], [0.002553469260376573,0.0063109312250642, 0.0006822010638096507], [0.003984959603314955,0.031554656125321, 0.000963107384201859], [0.0034820035368771456,0.0327082672094725, 0.0007624600124931382]]
0.0029, [[0.06341115329935156,0.0770205047359985, 0.00044142421775918573], [0.0001160667845625716,0.007328823358139, 0.0004815536921009299], [0.015320815562259437,0.0250401464736418, 0.00040129474341744155], [0.007041384930129338,0.0210364374168806, 0.00044142421775918573], [0.0,0.0356262246576204, 0.0003611652690756974], [0.0,0.0348797704266989, 0.00032103579473395324], [0.0,0.0310117803210144, 0.0002809063203922091], [0.0004255782100627617,0.0059716338473725, 0.00024077684605046496], [3.868892818752387e-05,0.0331154240627024, 0.00024077684605046496], [0.003172492111376955,0.007735980211369, 0.00024077684605046496]]
0.0169, [[0.27484614584416933,0.2669689429641217, 0.023154706695186357], [0.05416449946253337,0.1133931836245406, 0.0054576085104772005], [0.08012477027636186,0.1377547353427992, 0.003451134793389995], [0.003636759249627241,0.0061752122739875, 0.003772170588123947], [0.01029125489788134,0.0249044275225651, 0.0021268621401124383], [0.0037528260341898115,0.0310796397965527, 0.0018860852940619736], [0.022671711917888967,0.0627700148729503, 0.0003611652690756974], [0.017719529109885914,0.0656879723210983, 0.0002809063203922091], [0.00046426713825028555,0.0339297377691623, 0.0], [0.0,0.0027143790215329, 0.0026886747808968566]]
0.0057, [[0.0918862044453691,0.1936030837108404, 0.001725567396694998], [0.0004255782100627617,0.0, 0.002006473717087206], [0.0037528260341898115,0.0310796397965527, 0.0018860852940619736], [0.018609374458198966,0.0277545254951748, 0.00020064737170872077], [0.0,0.0356262246576204, 0.0003611652690756974], [0.0004255782100627617,0.0306724829433227, 0.0005216831664426741], [0.014005392003883628,0.0246329896204118, 0.00012038842302523248], [0.0,0.0, 0.0005216831664426741], [0.0005029560664378094,0.0054287580430659, 0.00012038842302523248], [0.0004255782100627617,0.0289081365793263, 0.0002809063203922091]]
0.0052, [[0.0840710409514893,0.178266842239179, 0.0016453084480115097], [0.0034433146086896207,0.0290438555304029, 0.0007624600124931382], [0.0075443409965671475,0.0190685126262692, 0.00024077684605046496], [0.003636759249627241,0.0068538070293708, 0.0004815536921009299], [0.011722745240819721,0.0251080059491801, 0.00020064737170872077], [0.006809251361004194,0.0180506204931943, 0.00012038842302523248], [0.0039462706751274305,0.0331832835382407, 0.00024077684605046496], [0.0037528260341898115,0.0362369599374654, 0.0002809063203922091], [0.0037528260341898115,0.0306046234677844, 0.0002809063203922091], [0.003598070321439716,0.0109932350372086, 4.0129474341744155e-05]]
0.0103, [[0.15850853878428517,0.2458548798753504, 0.01548997709591323], [0.06263737473560108,0.1349724968457279, 0.007423952753222663], [0.06967875966573042,0.1353796536989578, 0.004815536921009295], [0.022207444779638683,0.0738311093856972, 0.0008427189611766264], [0.0004255782100627617,0.0026465195459946, 0.0018860852940619736], [0.022014000138701063,0.0804134785129147, 0.0004815536921009299], [0.008627630985817814,0.0247008490959502, 0.0002809063203922091], [0.00777647456569229,0.0234793785362603, 0.00020064737170872077], [0.00046426713825028555,0.0016964868884581, 0.0006420715894679065], [0.00046426713825028555,0.0317582345519359, 4.0129474341744155e-05]]
